customer_id,income_tier,car_model,battery_capacity_kwh
C0001,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0002,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0003,Mid-Range,MG Comet EV,17.3
C0004,Mid-Range,Tata Punch EV,35.0
C0005,Mid-Range,Citroen eC3,29.2
C0006,Low-Mid,Ather 450X (4W equiv),20.0
C0007,Low-Mid,Hero Electric Optima,12.0
C0008,Mid-Range,Citroen eC3,29.2
C0009,Mid-Range,Tata Nexon EV,30.2
C0010,Low-Mid,Citroen eC3 Feel,29.2
C0011,Mid-Range,Citroen eC3,29.2
C0012,Low-Mid,Hero Electric Optima,12.0
C0013,Mid-Range,Tata Punch EV,35.0
C0014,Low-Mid,Tata Tigor EV Base,21.5
C0015,Low-Mid,Citroen eC3 Feel,29.2
C0016,Mid-Range,Citroen eC3,29.2
C0017,Low-Mid,Tata Tigor EV Base,21.5
C0018,Low-Mid,Citroen eC3 Feel,29.2
C0019,Low-Mid,Tata Tigor EV Base,21.5
C0020,Low-Mid,Citroen eC3 Feel,29.2
C0021,Mid-Range,Mahindra e2o Plus,18.5
C0022,High,Tata Nexon EV Max,40.5
C0023,Mid-Range,Tata Punch EV,35.0
C0024,Mid-Range,MG Comet EV,17.3
C0025,High,Kia EV6,77.4
C0026,Low-Mid,Greaves Eltra,16.0
C0027,Low-Mid,Hero Electric Optima,12.0
C0028,Low-Mid,Tata Tiago EV,24.0
C0029,Low-Mid,Hero Electric Optima,12.0
C0030,High,Hyundai Ioniq 5,72.6
C0031,Low-Mid,Hero Electric Optima,12.0
C0032,Mid-Range,Tata Punch EV,35.0
C0033,Mid-Range,Tata Nexon EV,30.2
C0034,Low-Mid,Tata Tiago EV,24.0
C0035,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0036,Low-Mid,Citroen eC3 Feel,29.2
C0037,Low-Mid,Ampere Nexus,30.0
C0038,Mid-Range,MG Comet EV,17.3
C0039,High,BYD Atto 3 Superior,60.5
C0040,Mid-Range,MG Comet EV,17.3
C0041,Low-Mid,Citroen eC3 Feel,29.2
C0042,High,BMW iX1,66.5
C0043,Mid-Range,MG Comet EV,17.3
C0044,Low-Mid,Citroen eC3 Feel,29.2
C0045,Low-Mid,Greaves Eltra,16.0
C0046,Low-Mid,Greaves Eltra,16.0
C0047,Low-Mid,Ampere Nexus,30.0
C0048,Low-Mid,Greaves Eltra,16.0
C0049,High,Kia EV6,77.4
C0050,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0051,Low-Mid,Greaves Eltra,16.0
C0052,Low-Mid,Hero Electric Optima,12.0
C0053,Low-Mid,Citroen eC3 Feel,29.2
C0054,High,BYD Atto 3 Superior,60.5
C0055,Mid-Range,Mahindra e2o Plus,18.5
C0056,Mid-Range,Tata Punch EV,35.0
C0057,Low-Mid,Citroen eC3 Feel,29.2
C0058,Mid-Range,Mahindra e2o Plus,18.5
C0059,Mid-Range,Citroen eC3,29.2
C0060,Low-Mid,Citroen eC3 Feel,29.2
C0061,Mid-Range,Tata Nexon EV,30.2
C0062,Mid-Range,Citroen eC3,29.2
C0063,Mid-Range,Tata Nexon EV,30.2
C0064,Low-Mid,Hero Electric Optima,12.0
C0065,High,MG ZS EV Exclusive,50.3
C0066,Low-Mid,Ather 450X (4W equiv),20.0
C0067,Mid-Range,MG Comet EV,17.3
C0068,Mid-Range,Tata Tigor EV,26.0
C0069,Low-Mid,Citroen eC3 Feel,29.2
C0070,Mid-Range,Citroen eC3,29.2
C0071,Low-Mid,Greaves Eltra,16.0
C0072,Low-Mid,Ampere Nexus,30.0
C0073,Low-Mid,Hero Electric Optima,12.0
C0074,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0075,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0076,Low-Mid,Ampere Nexus,30.0
C0077,Low-Mid,Tata Tigor EV Base,21.5
C0078,High,Hyundai Ioniq 5,72.6
C0079,Mid-Range,Mahindra e2o Plus,18.5
C0080,Mid-Range,Tata Tigor EV,26.0
C0081,Low-Mid,Citroen eC3 Feel,29.2
